run_no,time_s,rss,vms_kb,pfaults,pageins,cpu_pct,uss,swap
0,7.890130043029785,4622548992,425982885888,1924086,268,117.4,4290101248,None
0,7.993124008178711,5379850240,427333025792,1970310,268,101.3,5051990016,None
0,8.096179008483887,4682481664,426033266688,2007075,268,97.5,4350033920,None
0,8.20202088356018,5269979136,427467898880,2045061,268,108.5,4943233024,None
0,8.307608842849731,5926748160,427467898880,2085147,268,98.7,5598052352,None
0,8.41344404220581,4769366016,426201645056,2096910,268,103.9,4436918272,None
0,8.519330024719238,5440716800,427594383360,2137887,268,99.9,5112561664,None
0,8.62633991241455,6174883840,427594383360,2182696,268,99.4,5574000640,None
0,8.729458093643188,4937089024,427723194368,2190615,268,102.8,4609835008,None
0,8.832359075546265,5774360576,427723194368,2241718,268,98.8,5446008832,None
0,8.936667919158936,4889460736,426414342144,2272713,268,104.0,4557012992,None
0,9.04068398475647,5304369152,427852808192,2298038,268,101.9,4977262592,None
0,9.146538019180298,6005456896,427852808192,2340830,268,98.0,5677203456,None
0,9.252465009689331,5138956288,426708795392,2374152,268,98.5,4810768384,None
0,9.358329057693481,5724700672,427581210624,2409903,268,95.9,5395136512,None
0,9.464309215545654,6316179456,428453625856,2446002,268,99.3,5986664448,None
0,9.56905198097229,6473072640,428839501824,2455578,268,98.6,6140215296,None
0,9.674896001815796,6625574912,428839501824,2464886,268,99.6,6292684800,None
0,9.780733108520508,7155875840,430277951488,2497254,268,99.9,6825623552,None
0,9.886707067489624,7670153216,430277951488,2531049,268,83.2,7344128000,None
0,9.992578983306885,7500939264,430457765888,2556746,268,98.7,7171227648,None
0,10.098526000976562,7417217024,430457765888,2564686,268,97.8,7087505408,None
0,10.200602054595947,7318274048,430817394688,2582189,268,96.9,7003963392,None
0,10.306528806686401,6842580992,431716401152,2594121,268,99.9,6514442240,None
0,10.412413120269775,7167033344,431716401152,2613923,268,100.0,6838845440,None
0,10.51831579208374,7461715968,431716401152,2631910,268,98.1,7133528064,None
0,10.624825954437256,7496187904,431716401152,2645973,268,68.9,7161741312,None
0,10.72995400428772,7088865280,431716401152,2654085,268,46.2,6760808448,None
0,10.835835933685303,6628769792,431716401152,2658639,268,22.3,6312869888,None
0,10.941802024841309,6446661632,431716401152,2672534,268,65.1,6131040256,None
0,11.042922019958496,6385713152,431716401152,2689173,268,79.2,6071238656,None
0,11.144170045852661,6289915904,431716401152,2705705,268,76.0,5975801856,None
0,11.248079061508179,6170443776,431716401152,2722300,268,74.2,5846777856,None
0,11.35397481918335,6038142976,431716401152,2738419,268,74.0,5718441984,None
0,11.459926843643188,5887721472,431896215552,2754867,268,97.7,5564465152,None
0,11.563992977142334,5891719168,433339056128,2785514,268,87.9,5586714624,None
0,11.665555000305176,5990350848,433339056128,2816046,268,76.3,5696716800,None
0,11.77139401435852,6038470656,433339056128,2849434,268,79.7,5872877568,None
0,11.87736988067627,6120144896,433339056128,2879386,268,79.4,6073778176,None
0,11.983276844024658,6043598848,434781896704,2896492,268,80.6,5996003328,None
0,12.084386825561523,6128320512,434781896704,2914463,268,62.4,6080888832,None
0,12.186609983444214,6121766912,434781896704,2932216,268,58.1,6077366272,None
0,12.292609930038452,6134431744,434781896704,2952473,268,67.3,6090162176,None
0,12.398541927337646,6036996096,434781896704,2969227,268,61.4,5993299968,None
0,12.504719018936157,5960220672,434781896704,2990429,268,71.8,5923356672,None
0,12.61081314086914,5512626176,434781896704,3003322,268,54.0,5479235584,None
0,12.71694302558899,5335515136,434781896704,3020603,268,69.5,5299798016,None
0,12.822921991348267,5257625600,434781896704,3041906,268,74.2,5222121472,None
0,12.924240112304688,5240782848,434781896704,3062987,268,77.5,5204180992,None
0,13.030143022537231,3950739456,433159241728,3089339,268,95.7,3906732032,None
0,13.136090993881226,4503568384,434781896704,3123091,268,99.9,4462477312,None
0,13.242080926895142,5441748992,434781896704,3181592,268,93.0,5393842176,None
0,13.348068952560425,5196873728,434781896704,3204968,268,59.1,5162729472,None
0,13.453971147537231,4938842112,434781896704,3230109,268,61.2,4896653312,None
0,13.557514190673828,4770807808,434781896704,3254616,268,59.3,4738285568,None
0,13.663460969924927,4729061376,434781896704,3281609,268,70.8,4680925184,None
0,13.769528865814209,4631314432,436224737280,3303575,268,70.1,4593926144,None
0,13.872039079666138,4282236928,436224737280,3321160,268,52.9,4246814720,None
0,13.97531795501709,4040130560,436224737280,3341628,268,59.1,4007821312,None
0,14.08133316040039,3993944064,436224737280,3362299,268,61.5,3949772800,None
0,14.187255859375,3966812160,436224737280,3384150,268,69.1,3923001344,None
0,14.293298959732056,3844718592,436224737280,3407941,268,64.4,3813261312,None
0,14.399221897125244,3794501632,436224737280,3434353,268,69.7,3750887424,None
0,14.505557775497437,3842310144,436224737280,3462654,268,71.6,3803561984,None
0,14.612431049346924,3824844800,436224737280,3489556,268,69.4,3781246976,None
0,14.718250036239624,514457600,429401522176,3492824,268,93.8,466452480,None
0,14.82240605354309,848084992,429107920896,3513741,268,101.0,803733504,None
0,14.92820119857788,1542766592,429107920896,3556142,268,100.0,1498365952,None
0,15.034047842025757,2286338048,429107920896,3601527,268,100.0,2242117632,None
0,15.137680053710938,2994585600,429107920896,3644755,268,99.9,2950103040,None
0,15.243543863296509,3468771328,429107920896,3673698,268,100.0,3420160000,None
0,15.34932017326355,2116501504,427849629696,3679011,268,100.0,2068840448,None
0,15.4551420211792,2384871424,429288079360,3695402,268,100.0,2340339712,None
0,15.560983896255493,3087958016,429288079360,3738317,268,100.0,3043475456,None
0,15.666877031326294,3705585664,429467893760,3776019,268,99.9,3658530816,None
0,15.770965814590454,4009394176,429647708160,3794565,268,100.0,3963207680,None
0,15.876805067062378,3731456000,430726529024,3810527,268,100.0,3685384192,None
0,15.98265790939331,4163010560,430726529024,3836867,268,100.0,4117151744,None
0,16.08849287033081,4601102336,430726529024,3863605,268,100.0,4555112448,None
0,16.194360971450806,5035261952,430726529024,3890103,268,99.9,4989370368,None
0,16.297345876693726,5460951040,430726529024,3916087,268,100.0,5414797312,None
